name,type,company,description,amount,notes,notes2,notes3,notes4
Jean Desessard,pro,,Sénateur,NÉANT,,,,
Sophie Primas,pro,,Sénateur,"2014 : 64689,96 EUR","En 2014 Sénateur- 5390,83 / mois",,,
Alain Houpert,pro,,Sénateur,50000 EUR par an,,,,
Philippe Esnol,pro,,Sénateur des Yvelines,NÉANT,,,,
Eva Sas,pro,,Trésorière EELV,24000 EUR par an,2000 EUR net,,,
Roger Karoutchi,pro,,Vacataire à l'IEP de Paris,1500 EUR par an,"En 2012 et 2013, cycle de 12 séances de 2 h de conférences à l'IEP de Paris (février - mai) mais non renouvellement pour 2014 et la suite… - environ 1500 EUR pour 12 séances (donc 1500 EUR en 2012, 1500 EUR en 2013)",,,
Alex Türk,pro,,Vacataire à l'université libre de Lille,2013 : 9954 EUR,"Vacations à l'université libre de Lille - Année 2013 : 9 954,50 EUR",,,
Catherine Génisson,pro,,Vacataire Anesthésiste-Réanimateur,16799 EUR par an,Vacataire en tant qu'Anesthésiste-Réanimateur au SAMU 62 du Centre Hospitalier d'Arras - 16799.86 EUR Voir Annexe n°1 de sept.2011 à Avril 2013,,,
Élie Aboud,pro,,Vacataire Hospitalier,8580 EUR par an,Vacataire Hospitalier CHG Narbonne  - 715 EUR net/mois,,,
Jean-Christophe Lagarde,pro,,Vice président de la communauté d'agglomération du Bourget,11035 EUR par an,,,,
Jacques Krabal,pro,,Vice-Président Communauté de Communes,4296 EUR par an,Communauté de Communes (CCRCT jusqu'en 09/13) Vice-Pdt - 358 EUR,,,
Christophe Castaner,pro,,Vice-président Conseil régional PACA,,,,,
Jean-Claude Guibal,pro,,Vice-Président de la Communauté d'Agglomération de la Riviera Française,NÉANT,,,,
Laurent Wauquiez,pro,,Vice-Président de la communauté d'agglomération du Puy-en-Velay,17184 EUR par an,1.432 EUR(mensuel),,,
Nuihau Laurey,pro,,"Vice-président du gouvernement de la Polynésie Française, ministre du budget, des finances et des énergies",2015 : 23000 EUR par an,Fonction exercée depuis le 03/05/2015,,,
Olivier Dassault,pro,,Vice-Président Groupe VALMONDE,,sis à Paris (75009) - non rémunéré sauf jetons de présence,,,
Monique Rabin,pro,,Vice-présidente de la communauté de communes de Grand Lieu,9000 EUR par an,Indemnité 750 EUR,,,
Seybah Dagoma,pro,,Vice-présidente du SYCTOUR (01/2009 à 07/2012),7500 EUR par an,"135,11 EUR en juillet 2012 ; Rémunération de 625 EURpar mois sauf en juillet 2012",,,
Sophie Rohfritsch,pro,,Vice-Présidente Région Alsace,18732 EUR par an,,,,
Henri Cabanel,pro,,Viticulteur,NÉANT,Non connue réel fiscal,,,
Valérie Fourneyron,pro,,Maire de la Ville de Rouen,NÉANT,,,,
Sophie Primas,pro,,,,,,,
Bernard Debré,pro,,,,,,,
Francis Delattre,pro,,,,,,,
Frédéric Cuvillier,pro,,Membre du gouvernement reprenant son mandat,,,,,
Marie Le Vern,pro,,Publication à venir,Publication à venir,,,,
Raymond Vall,pro,,Publication à venir,Publication à venir,,,,
Anne Chain-Larché,pro,,Publication à venir,,,,,
Jean-Marc Germain,pro,,Directeur de cabinet Parti socialiste,49800 EUR par an,Temps partiel,,,
Esther Benbassa,pro5,,Alma Editeur (auteur),2011 : 1425 EUR,,,,
Esther Benbassa,pro5,,CNRS Editions (auteur),2011 : 225 EUR,,,,
Pierre Lellouche,pro5,,Conseiller de Paris,,Voir déclarations IR + BNC pour la période (jointes en annexe),,,
Esther Benbassa,pro5,,Directrice d'études à l'école pratique des hautes études,2011 : 64708 EUR,,,,
Esther Benbassa,pro5,,Directrice d'études à l'école pratique des hautes études,2012 : 64475 EUR,,,,
Esther Benbassa,pro5,,Edition du Seuil,2011 : 128 EUR,,,,
Esther Benbassa,pro5,,Edition Larousse (auteur),2011 : 673 EUR,,,,
Esther Benbassa,pro5,,Institut Français (auteur),2011 : 125 EUR,,,,
Esther Benbassa,pro5,,Les liens qui libèrent (auteur),2011 : 2375 EUR,,,,
Esther Benbassa,pro5,,Librairie Arthème Fayard (auteur),2011 : 115 EUR,,,,
Esther Benbassa,pro5,,Mairie d'Arcueil (conférencière),2011 : 316 EUR,,,,
Esther Benbassa,pro5,,Princeton University Press (auteur),2011 : 58 EUR,,,,
Esther Benbassa,pro5,,Sebdo Le point (auteur),2011 : 570 EUR,,,,
Françoise Gatel,pro5,,Congé' de fin d'activité (2013-2014),1724 EUR par an,,,,
Jonas Tahuaitu,pro5,,1er adjoint au Maire de TEVA I UTA,"9249,50 EUR par an",91 980 Fpar mois,,,
Hervé Marseille,pro5,,2005-2009 : conseiller d'Etat en service extraordinaire,"24901,8 EUR par an","2075,15 EUR brut par mois",,,
Pascal Demarthe,pro5,,2007-2012 : Professeur des Ecoles détachée auprès d'un député en qualité de collaborateur du 1/9/2007 au 19/6/2012,2007-2012: 31536 EUR par an,01-09-2007 au 19/06/2012: 2628 EUR par mois,,,
Laurent Grandguillaume,pro5,,"2008 : Attaché territorial, CNFPT",35880 EUR  par an,Net,,,
Gabriel Serville,pro5,,2008 principal de collège,67200 EUR par an,5600 EUR mensuels,,,
Romain Colas,pro5,,"2008-2011 : Directeur marketing, pôle aménagement Palaiseau",2008-2011 : 23171 EUR par an,,,,
Laurent Marcangeli,pro5,,2008-2012 : avocat,NÉANT,,,,
Nicole Duranton,pro5,,2009 : fonctionnaire,2009: 10345 EUR par an,,,,
Guy-Dominique Kennel,pro5,,2009 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET),"2009 : 44843,62 EUR par an",Correspond au montant imposable,,,
Gisèle Jourda,pro5,,2009 : JP Dupré (député),2009 : 21819 EUR par an,,,,
Valérie Rabault,pro5,,2009 : salariée BNP,2009 : 108013 EUR par an,,,,
Gisèle Jourda,pro5,,2009 : traitements salariés : commune de Limoux,2009 : 36960 EUR par an,,,,
Hervé Marseille,pro5,,2009 : collaborateur juridique cabinet d'avocats,216832 EUR par an,"30976 EUR brut par mois, de juin à décembre",,,
Laurent Grandguillaume,pro5,,2009-2012 : en situation de détachement,,,,,
Stéphane Claireaux,pro5,,2009-2013 : Collaborateur parlementaire,2013 : 38317 EUR par an,,,,
Stéphane Claireaux,pro5,,2009-2013 : Collaborateur parlementaire,2012 : 34920 EUR par an,,,,
Stéphane Claireaux,pro5,,2009-2013 : Collaborateur parlementaire,2011 : 36549 EUR par an,,,,
Stéphane Claireaux,pro5,,2009-2013 : Collaborateur parlementaire,2010 : 35207 EUR par an,,,,
Stéphane Claireaux,pro5,,2009-2013 : Collaborateur parlementaire,2009 : 32343 EUR par an,,,,
Corinne Imbert,pro5,,2009-2013 : Pharmacien d'officine titulaire-gérant unique de l'EURL pharmacie (avec un exercice du 1/10 au 30/9),122956 EUR par an,"en 2013, dernier BIC",,,
Stéphane Claireaux,pro5,,2009-2013 : Président d'Azimuts SAS,2013 : 25053 EUR par an,,,,
Stéphane Claireaux,pro5,,2009-2013 : Président d'Azimuts SAS,2012 : 20540 EUR par an,,,,
Stéphane Claireaux,pro5,,2009-2013 : Président d'Azimuts SAS,2011 : 14708 EUR par an,,,,
Stéphane Claireaux,pro5,,2009-2013 : Président d'Azimuts SAS,2010 : 9646 EUR par an,,,,
Stéphane Claireaux,pro5,,2009-2013 : Président d'Azimuts SAS,2009 : 9597 EUR par an,,,,
Michel Sordi,pro5,,2009-2014 : Chargé de mission Direction de la construction durable,7836 EUR par an,brut annuel HOLCIM,,,
Gisèle Jourda,pro5,,2010 : activité parlementaire JP Dupré,2010 : 22684 EUR par an,,,,
Jacques Bigot,pro5,,2010 : Avocat,7078 EUR par an,net perçu,,,
Guillaume Arnell,pro5,,2010 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin,43742 EUR par an,imposables,,,
Gisèle Jourda,pro5,,"2010 : commune, cadre territorial Limoux",2010 : 38477 EUR par an,,,,
Guy-Dominique Kennel,pro5,,2010 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET),"2010 : 45783,35 EUR par an",Correspond au montant imposable,,,
Valérie Rabault,pro5,,2010 : salariée BNP,2010: 259474 EUR par an,,,,
Jean-Baptiste Lemoyne,pro5,,2010 : secrétaire général délégué du groupe UMP à l'Assemblée nationale,2010 : 73044 EUR par an,Net,,,
Frédéric Lefebvre,pro5,,2010: Auteur,2010: 3166 EUR par an,3166 EUR du 01/01/2010 au 13/11/2010,,,
Gisèle Jourda,pro5,,2011 : activité parlementaire JP Dupré,2011 : 22709 EUR par an,,,,
David Comet,pro5,,2011 : Collaborateur parlementaire et conseiller général,2011 : 54600 EUR par an,,,,
Jacques Bigot,pro5,,2011 : Avocat,18000 EUR par an,net perçu,,,
Guillaume Arnell,pro5,,2011 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin,44258 EUR par an,imposables,,,
Frédéric Barbier,pro5,,2011 : Cadre ERDF/GRDF,41097 EUR par an,,,,
Gisèle Jourda,pro5,,2011 : centre de gestion Fonction publique territoriale (FPT),2011 : 1240 EUR par an,,,,
Gisèle Jourda,pro5,,"2011 : commune, cadre territorial Limoux",2011 : 39164 EUR par an,,,,
Guy-Dominique Kennel,pro5,,2011 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET),"2011 : 46084,13 EUR par an",Correspond au montant imposable,,,
Valérie Rabault,pro5,,2011 : Salariée BNP,2011: 490621 EUR par an,,,,
Jean-Baptiste Lemoyne,pro5,,2011 : secrétaire général délégué du groupe UMP à l'Assemblée nationale,2011 : 74760 EUR par an,Net,,,
Frédéric Lefebvre,pro5,,2011: Auteur,2011: 6334 EUR par an,,,,
Gisèle Jourda,pro5,,2012 : activité parlementaire,2012 : 23200 EUR par an,,,,
David Comet,pro5,,2012 : Collaborateur parlementaire et conseiller général,2012 : 60800 EUR par an,,,,
Jacques Bigot,pro5,,2012 : Avocat,18665 EUR par an,net perçu,,,
Guillaume Arnell,pro5,,2012 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin,44846 EUR par an,imposables,,,
Frédéric Barbier,pro5,,2012 : Cadre ERDF/GRDF,27105 EUR par an,"2012: 27105 EUR année 2012, congé sans solde à partir de septembre",,,
Gisèle Jourda,pro5,,2012 : centre de gestion,2012 : 1001 EUR par an,,,,
Gisèle Jourda,pro5,,2012 : commune,2012 : 47908 EUR par an,,,,
Valérie Rabault,pro5,,2012 : Députée,2012: 26795 EUR par an,,,,
Guy-Dominique Kennel,pro5,,2012 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET),"2012 : 46449,00 EUR par an",Correspond au montant imposable,,,
Valérie Rabault,pro5,,2012 : Salariée en congé sabbatique,32256 EUR par an,,,,
Jean-Baptiste Lemoyne,pro5,,2012 : secrétaire général délégué du groupe UMP à l'Assemblée nationale,2012 : 77748 EUR par an,Net,,,
Pascal Demarthe,pro5,,2012- 2013: Professeur des Ecoles au 11ème échelon Réintégration dans l'Education Nationale depuis le 20/06/2012,2012-2013:  28920 EUR par an,2410 EUR par mois depuis le 20/06/2012,,,
Marie Recalde,pro5,,2013 : arrêt activité professionnelle,NÉANT,,,,
Jacques Bigot,pro5,,2013 : Avocat,4500 EUR par an,net perçu,,,
Guillaume Arnell,pro5,,2013 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin,45454 EUR par an,imposables,,,
Frédéric Barbier,pro5,,2013 : Cadre ERDF/GRDF,NÉANT,Congé sans solde,,,
Gisèle Jourda,pro5,,2013 : centre de gestion,2013 : 3308 EUR,,,,
Gisèle Jourda,pro5,,2013 : Commune de Limoux,2013 : 53986 EUR,,,,
David Comet,pro5,,2013 : Conseiller général et pôle emploi (ARE),2013 : 42000 EUR par an,,,,
Gisèle Jourda,pro5,,2013 : députation,2013 : 28766 EUR,,,,
Guy-Dominique Kennel,pro5,,2013 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET),"2013 : 46141,23 EUR par an",Correspond au montant imposable,,,
Jean-Baptiste Lemoyne,pro5,,2013 : secrétaire général délégué du groupe UMP à l'Assemblée nationale,2013 : 75984 EUR par an,Net,,,
Valérie Rabault,pro5,,2013: Députée,2013: 50262 EUR par an,,,,
Guillaume Arnell,pro5,,2014 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin,39589 EUR par an,imposables,,,
Frédéric Barbier,pro5,,2014 : Cadre ERDF/GRDF,2441 EUR par an,"2014: 2441,03 EUR (année 2014) fin du congé sans solde en novembre 2014",,,
David Comet,pro5,,2014 : Conseiller général et pôle emploi (ARE),2014 : 42000 EUR par an,,,,
Laurent Grandguillaume,pro5,,2014 : Co-président du conseil de simplification pour les entreprises,,,,,
Laurent Grandguillaume,pro5,,2014 : Membre du conseil d'administration à l'Institut Supérieur des Métiers (ISM),,,,,
Pascal Demarthe,pro5,,2014 : Professeur des Ecoles hors classe 5ème échelon le 1/9/2014,2014: 29472 EUR par an,2012: 2546 EUR par mois le 1/9/2014,,,
Jean-Baptiste Lemoyne,pro5,,2014 : secrétaire général délégué du groupe UMP à l'Assemblée nationale,2014 : 75768 EUR par an,Rémunération nette indiquée sur une base annuelle. M. Lemoyne a quitté ses fonctions le 08/09/2014,,,
Frédéric Barbier,pro5,,2015 : Cadre ERDF/GRDF,37100 EUR par an,"2015: 3094,66 EUR par mois (février 2015)",,,
David Comet,pro5,,2015 : Conseiller général et pôle emploi (ARE),2015 : 6000 EUR par an,,,,
Esther Benbassa,pro5,,Abada Editores (auteur),2012 : 13 EUR,,,,
Jean-Marie Tetart,pro5,,Activités ponctuelles d'enseignement,1500 EUR par an,2008 : < 1500 2009 : < 1500 2010 : < 1500 2011 : < 1500 2012 : < 1500,,,
Gwenegan Bui,pro5,,Adjoint DGS Région Bretagne en charge préfiguration EPF Bretagne (16/02/2009 - 31/08/2009),"48249,96 EUR","4020,83 EUR",,,
Aline Archimbaud,pro5,,Adjointe au Maire de Pantin jusqu'à la date de ma démission le 13 10/2011,14064 EUR par an,1172 EUR par mois,,,
Olivier Dassault,pro5,,Administrateur DASSAULT AVIATION,non rémunéré sauf jetons de présence,,,,
Serge Dassault,pro5,,Administrateur DASSAULT FALCON JET CORPORATION (USA),Non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,,
Serge Dassault,pro5,,Administrateur DASSAULT INTERNATIONAL Inc.,Non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,,
Olivier Dassault,pro5,,Administrateur DASSAULT MEDIAS,non rémunéré sauf jetons de présence,,,,
Serge Dassault,pro5,,Administrateur DASSAULT SYSTEME,Non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,,
Philippe Dominati,pro5,,Administrateur de Théolia (2009 et 2010),200000 EUR par an,,,,
Olivier Dassault,pro5,,Administrateur RASEC,non rémunéré sauf jetons de présence,,,,
Serge Dassault,pro5,,Administrateur SITA,Non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,,
Olivier Dassault,pro5,,"Administrateur SOCIETE DU FIGARO, SA, sise à Paris (75009)",,,,,
Philippe Dominati,pro5,,Administrateur Téléperformance,11000 EUR par an,,,,
Serge Dassault,pro5,,Administrateur TERRAMARIS,Non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,,
Fanélie Carrey-Conte,pro5,,Administratrice de la LMDE (La Mutuelle Des Etudiants) de juin 2005 à 01/ 2008,"20400,12 EUR par an","1700,01 EUR mensuel net",,,
Georges Ginesta,pro5,,Agent d'Assurances,2011 : 151376 EUR,,,,
Georges Ginesta,pro5,,Agent d'Assurances,2009 : 96114  EUR,,,,
Georges Ginesta,pro5,,Agent d'Assurances,2010 : 113689  EUR,,,,
Jonas Tahuaitu,pro5,,Agent de l'équipement de 2008 à 06/2011,"51034,56 EUR par an",507 504 FCPpar mois,,,
Olivier Audibert Troin,pro5,,Agent Général d'Assurances,2008 : 232860 EUR,Commissions déclarées,,,
Olivier Audibert Troin,pro5,,Agent Général d'Assurances,2009 : 247241 EUR,Commissions déclarées,,,
Olivier Audibert Troin,pro5,,Agent Général d'Assurances,2010 : 256535 EUR,Commissions déclarées,,,
Olivier Audibert Troin,pro5,,Agent Général d'Assurances,2011 : 474412 EUR,Commissions déclarées,,,
Olivier Audibert Troin,pro5,,Agent Général d'Assurances,2012 : 468443 EUR,Commissions déclarées,,,
Jean-François Husson,pro5,,Agent Général d'Assurances  (cessation au 31/07/2012),2009 : 138260 EUR,,,,
Jean-François Husson,pro5,,Agent Général d'Assurances  (cessation au 31/07/2012), 2010 : 136668 EUR,,,,
Jean-François Husson,pro5,,Agent Général d'Assurances  (cessation au 31/07/2012),2011: 126340 EUR,,,,
Jean-François Husson,pro5,,Agent Général d'Assurances  (cessation au 31/07/2012),2012 : 87713 EUR,,,,
Michel Savin,pro5,,Agent technique principal jusqu'en 09/2011,16500 EUR par an,,,,
Alain Vasselle,pro5,,Agriculteur,2014 : 76500 EUR par an,,,,
Alain Vasselle,pro5,,Agriculteur,2013 : 44549 EUR par an,,,,
Alain Vasselle,pro5,,Agriculteur,2012 : 30491 EUR par an,,,,
Alain Vasselle,pro5,,Agriculteur,2011 : 12340 EUR par an,,,,
Alain Vasselle,pro5,,Agriculteur,2010 : -52293 EUR par an,,,,
Philippe Adnot,pro5,,Agriculteur,2012 : 35724 EUR par an,2012 : 2977 EUR par mois,,,
Philippe Adnot,pro5,,Agriculteur,2011 : 37284 EUR par an,2011: 3107 EUR par mois,,,
Philippe Adnot,pro5,,Agriculteur,2010 : 49764 EUR par an,2010: 4147 EUR par mois,,,
Charles de La Verpillière,pro5,,Agriculteur,2012 : 3477 EUR,,,,
Charles de La Verpillière,pro5,,Agriculteur,2011 : 4693 EUR,,,,
Charles de La Verpillière,pro5,,Agriculteur,2010 : 2389 EUR,,,,
Charles de La Verpillière,pro5,,Agriculteur,2009 : 3601 EUR,,,,
Charles de La Verpillière,pro5,,Agriculteur,2008 : 4039 EUR,,,,
Dominique Potier,pro5,,Agriculteur,2009 : 24551 EUR,DECLARATION IMPOTS (total salaires et assimilés),,,
Dominique Potier,pro5,,Agriculteur,2010 : 25459 EUR,DECLARATION IMPOTS (total salaires et assimilés),,,
Dominique Potier,pro5,,Agriculteur,2011 : 22007 EUR,DECLARATION IMPOTS (total salaires et assimilés),,,
Dominique Potier,pro5,,Agriculteur,2012 : 52110,DECLARATION IMPOTS (total salaires et assimilés),,,
Dominique Potier,pro5,,Agriculteur,2013 : 0 EUR,DECLARATION IMPOTS (total salaires et assimilés),,,
Jean-Luc Bleunven,pro5,,Agriculteur,2012 : 14164 EUR,Bénéfice agricole,,,
Yves Daniel,pro5,,Agriculteur,2880 EUR par an,240 EUR par mois soit  2880 EUR par an net,,,
Daniel Gremillet,pro5,,Agriculteur EARL Remyllet,10260 EUR par an,,,,
Daniel Gremillet,pro5,,Agriculteur EARL Remyllet,10260 EUR par an,,,,
Daniel Gremillet,pro5,,Agriculteur EARL Remyllet,10260 EUR par an,,,,
Daniel Gremillet,pro5,,Agriculteur EARL Remyllet,10260 EUR par an,,,,
Daniel Gremillet,pro5,,Agriculteur EARL Remyllet,10665 EUR par an,,,,
Benoît Huré,pro5,,agriculteur en GAEC,2009 : -18503 EUR,déficit,,,
Benoît Huré,pro5,,agriculteur en GAEC,2010 : -22590 EUR,déficit,,,
Benoît Huré,pro5,,agriculteur en GAEC,2011 : -6144 EUR,déficit,,,
Benoît Huré,pro5,,agriculteur en GAEC,2012 : -3117 EUR,déficit,,,
Benoît Huré,pro5,,agriculteur en GAEC,2013 : -2133 EUR,déficit,,,
Brigitte Allain,pro5,,Agricultrice EARL Les Vigonies,2010 : 1 969 EUR,,,,
Brigitte Allain,pro5,,Agricultrice EARL Les Vigonies,2009 : 5 613 EUR,,,,
Brigitte Allain,pro5,,Agricultrice EARL Les Vigonies,2008 : 1 838  EUR,,,,
Brigitte Allain,pro5,,Agricultrice EARL Les Vigonies,2007 : 2 000 EUR,,,,
Brigitte Allain,pro5,,Agricultrice EARL Les Vigonies,2006 : 4749 EUR,,,,
Nicolas Bays,pro5,,Animateur TV MCE,500 EUR par émission,TTC,,,
Stéphane Demilly,pro5,,Animatrice de conférences,2009 : 53 146 EUR,,,,
Stéphane Demilly,pro5,,Animatrice de conférences,2008 : 11 728 EUR,,,,
Daniel Boisserie,pro5,,Architecte,2008 : 27744 EUR 2009 : 18961 EUR 2010 : 17677 EUR 2011 : 7840 EUR 2012 : 8009 EUR,,,,
Stéphane Ravier,pro5,,Collaborateur parlementaire,"5753,81 EUR",,,,
Carlos Da Silva,pro5,,Collaborateur parlementaire,21600 EUR par an,1 800 EUR  par  mois sur 13 mois,,,
Jean-Marie Beffara,pro5,,Collaborateur parlementaire,32736 EUR par an,2728 EUR par mois,,,
Gilles Lurton,pro5,,Collaborateur parlementaire,53095 EUR par an,"Rémunération depuis le 01/01/2009 : 185,826.22 EUR Cf. Annexe au document",,,
André Jean Gattolin,pro5,,Collaborateur parlementaire auprès du groupe Verts ALE au Parlement Européen de mai 2020 à mars 2011,01/05/2010 - 01/03/2011 : 22719 EUR par an,Total salaire imposable sur la période : 22 719 EUR,,,
Jean-Louis Bricout,pro5,,Collaborateur parlementaire de M Balligand,2009 : 20662  EUR,,,,
Jean-Louis Bricout,pro5,,Collaborateur parlementaire de M Balligand,2012 : 4527  EUR,,,,
Jean-Louis Bricout,pro5,,Collaborateur parlementaire de M Balligand,2011 : 2807  EUR,,,,
Jean-Louis Bricout,pro5,,Collaborateur parlementaire de M Balligand,2010 : 8331  EUR,,,,
Patrick Mennucci,pro5,,Collaborateur parlementaire de Rolande POVINELLI (14 mois),50000 EUR,,,,
Mathieu Darnaud,pro5,,Collaborateur parlementaire du député Franck Reynier (Du 01/03/2009 au 01/03/2010),29100 EUR par an,,,,
Philippe Mouiller,pro5,,Collaborateur parlementaire du sénateur des Deux-Sèvres Michel Becot (de juin 1995 à juin 2014),35580 EUR par an,,,,
Pascal Allizard,pro5,,Collaborateur parlementaire du sénateur René Garrec,28 469  EUR par an,net,,,
Fabrice Verdier,pro5,,Collaborateur parlementaire d'un sénateur,22800 EUR par an,1900 EUR net mensuel,,,
Brigitte Micouleau,pro5,,Assistante de direction à mi-temps depuis 2002,15252 EUR par an,,,,
Delphine Bataille,pro5,,Collaborateur parlementaire,25536 EUR par an,2128 EUR par mois,,,
Anne Emery-Dumas,pro5,,Collaborateur parlementaire (10/2011 à 09/2012),48000 EUR par an,4000 EUR  par  mensuels,,,
Isabelle Le Callennec,pro5,,Collaborateur parlementaire (jusqu'au 19/06/2012),2010-2012 : 51200 par an,4200 euros net jusque 5000 euros ( avec progression à deux reprises) (mensuel),,,
Paola Zanetti,pro5,,Collaborateur parlementaire du Sénateur Jean-Marc TODESCHINI (27/04/2004 - 28/08/2010),26664 EUR par an,,,,
Paola Zanetti,pro5,,Collaborateur parlementaire du Sénateur Jean-Pierre MASSERET (23/08/2010 - 01/10/2012),32964 EUR par an,,,,
Marie-Hélène Fabre,pro5,,Collaborateur parlementaire jusqu'au 17/06/2012,56846 EUR par an,,,,
Laurence Abeille,pro5,,Collaborateur parlementaire jusqu'en 07/2010 au Sénat,14964 EUR par an,,,,
Marianne Dubois,pro5,,Collaborateur parlementaire jusqu'en avril 2009,56736 EUR par an,4728 euros,,,
David Rachline,pro5,,Association Front national de 2010 à 2014,24000 EUR par an,2 000 EUR par mois,,,
Christophe Premat,pro5,,Attaché de coopération pour le français à l'Institut français de Suède (01/09/2008-31/08/2013),87600 EUR par an,,,,
Jean-Philippe Nilor,pro5,,Collaborateur parlementaire,28800 EUR par an,"2400,00 EUR (mensuel)",,,
Gérald Darmanin,pro5,,Collaborateur parlementaire,42000 EUR par an,,,,
Cédric Perrin,pro5,,Collaborateur parlementaire à l'Assemblée nationale de 2002 au 12 mai 2014,"27756,6 EUR par an","2 313,05 EUR nets mensuels (dernier salaire)",,,
Luc Belot,pro5,,Collaborateur parlementaire du Sénateur Daniel RAOUL,"22205,28 EUR par an",,,,
Yann Capet,pro5,,"Attaché territorial direction stratégie, partenariats international",2012 : 23770 EUR,,,,
Yann Capet,pro5,,"Attaché territorial direction stratégie, partenariats international",2011 : 41689 EUR,,,,
Yann Capet,pro5,,"Attaché territorial direction stratégie, partenariats international",2010 : 41986 EUR,,,,
Yann Capet,pro5,,"Attaché territorial direction stratégie, partenariats international",2009 : 41 693 EUR,,,,
Luce Pane,pro5,,Collaborateur parlementaire,50400 EUR par an,4200 EUR par mois,,,
Florence Delaunay,pro5,,Attachée territoriale principale du 01/05/2014 au 27/09/2014,,,,,
Patrice Carvalho,pro5,,"Auditeur responsable environnement, hygiène industrielle et sécurité - Saint-Gobain",44400 EUR par an,3700 EUR,,,
Hervé Féron,pro5,,Auteur,1000 EUR par an.,"J'ecris encore ponctuellement quelques textes ou musiques, ce qui me rapporte des droits Sacem lorsque ces œuvres sont interprétées _ moins de 1000 EUR par an",,,
Ronan Dantec,pro5,,"Auteur ( expositions, livres illustrés)",,Très variable selon les années,,,
Daniel Fasquelle,pro5,,Auteur (Revues juridiques),2013 : 893 EUR,droits d'auteur,,,
Daniel Fasquelle,pro5,,Auteur (Revues juridiques),2011 : 1137 EUR,"droits d'auteur (Dalloz, Wolters, Gazette du Palais)",,,
Daniel Fasquelle,pro5,,Auteur (Revues juridiques),"2010 : 13554,30 EUR","droits d'auteur (Dalloz, Lextensio editions)",,,
Daniel Fasquelle,pro5,,Auteur (Revues juridiques),2012 : 2310 EUR,droits d'auteur,,,
Daniel Fasquelle,pro5,,Auteur (Revues juridiques),"2009 : 11943,15 EUR","droits d'auteur (Dalloz, Wolters, Lextensio editions)",,,
Noël Mamère,pro5,,Auteur de documentaires télévisés et auteur de livres,2008 : 11810 EUR,,,,
Noël Mamère,pro5,,Auteur de documentaires télévisés et auteur de livres,2009 : 7429 EUR,,,,
Noël Mamère,pro5,,Auteur de documentaires télévisés et auteur de livres,2010 : 6442 EUR,,,,
Noël Mamère,pro5,,Auteur de documentaires télévisés et auteur de livres,2011 : 2170 EUR,,,,
Noël Mamère,pro5,,Auteur de documentaires télévisés et auteur de livres,2012 : 5696 EUR,,,,
Gilbert Collard,pro5,,Auteur de livres et de récits d'affaires juridiques pour la télévision percevant des droits d'auteur,2008 : 18999 EUR,,,,
Gilbert Collard,pro5,,Auteur de livres et de récits d'affaires juridiques pour la télévision percevant des droits d'auteur,2009 : 14791 EUR,,,,
Gilbert Collard,pro5,,Auteur de livres et de récits d'affaires juridiques pour la télévision percevant des droits d'auteur,"2010 : 48179,77 EUR",,,,
Gilbert Collard,pro5,,Auteur de livres et de récits d'affaires juridiques pour la télévision percevant des droits d'auteur, 2011 : 20341 EUR,,,,
Gilbert Collard,pro5,,Auteur de livres et de récits d'affaires juridiques pour la télévision percevant des droits d'auteur, 2012 : 7782 EUR,,,,
Roger-Gérard Schwartzenberg,pro5,,Auteurs de livres,2009 à 2013 : 10177  EUR,Droits d'auteur,,,
Mathieu Darnaud,pro5,,Auto-entrepreneur dans la formation (Du 01/04/2011 au 01/12/2011),2914 EUR par an,,,,
André Jean Gattolin,pro5,,Autre (conférence ENS d'Arts en 2009),2009 : 461 EUR,Salaire imposable perçu : 461 EUR,,,
Luc Chatel,pro5,,Avant 05/2012 : Néant,NÉANT,,,,
Alain Tourret,pro5,,Avocat,2009 : 128846 EUR par an,,,,
Alain Tourret,pro5,,Avocat,2010 : 104549 EUR par an,,,,
Alain Tourret,pro5,,Avocat,2011 : 48921 EUR par an,,,,
Alain Tourret,pro5,,Avocat,2012 : 51241 EUR par an,,,,
Alain Tourret,pro5,,Avocat,2013 : 14085 EUR par an,,,,
Marcel Bonnot,pro5,,Avocat,Voir BNC (2035),,,,
Jean-François Copé,pro5,,Avocat,2011 : 351996 EUR par an,,,,
Jean-François Copé,pro5,,Avocat,2010 : 335752 EUR par an,,,,
